entry_index,word_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,positive,negative
5610,619,2,6,0,6,4,2,4,8,25,6
5627,103,0,2,0,0,1,0,1,1,2,1
5638,38,1,1,0,2,1,0,0,1,2,2
5664,147,0,0,0,0,0,0,0,1,3,1
5705,261,1,8,1,1,7,1,3,3,14,1
5727,199,1,4,0,1,4,3,3,6,12,1
5731,7,0,0,0,0,0,0,0,0,0,0
5766,4,0,0,0,0,0,0,0,1,1,0
5776,81,0,1,0,0,1,0,0,1,5,0
5809,1,0,0,0,0,0,0,0,0,0,0
5830,326,1,4,1,1,6,1,2,5,12,1
5846,291,1,4,1,0,3,0,4,6,7,1
5892,413,2,5,1,5,9,5,3,12,22,6
5937,269,0,1,0,2,2,0,0,5,8,2
5943,378,1,3,3,2,5,2,4,12,10,2
5969,122,0,3,0,0,0,0,1,2,7,0
5992,127,1,0,0,0,0,1,0,1,1,1
6032,25,0,0,0,0,0,0,0,0,0,0
6058,8,0,1,0,0,0,0,0,0,0,0
6080,71,0,1,0,0,0,0,0,0,1,1
6089,76,0,0,0,0,0,0,0,1,0,0
6100,117,0,2,0,0,4,1,1,4,5,0
6124,169,0,0,0,0,1,0,1,5,8,0
6143,212,2,6,2,2,3,5,5,4,6,5
6170,392,2,8,2,2,9,3,5,9,20,3
6198,397,0,6,0,1,8,1,4,11,19,4
6237,375,1,6,0,1,13,2,7,15,18,3
6275,103,0,1,0,0,1,0,1,1,1,0
6313,106,1,2,0,0,2,0,1,4,5,2
6342,55,0,0,0,0,0,0,0,0,0,0
6356,4,0,0,0,0,0,0,0,1,1,0
6362,4,0,0,0,0,0,0,0,0,0,0
6378,18,0,0,0,0,0,0,0,0,2,0
6383,7,0,0,0,0,0,0,0,0,1,0
6395,8,0,0,0,0,0,0,0,0,0,0
6401,4,0,0,0,0,0,0,0,0,0,0
6407,22,0,1,0,0,0,0,0,0,1,0
6423,5,0,0,0,0,0,0,0,0,0,0
6429,4,0,0,0,0,0,0,0,0,0,0
6462,72,0,1,0,1,1,0,0,4,4,1
6485,41,0,2,0,0,1,0,1,2,4,0
6529,51,0,0,0,0,1,0,0,1,1,0
6557,34,0,2,0,1,0,0,0,0,2,0
6573,9,0,0,0,0,0,0,0,0,0,0
6583,32,0,0,0,0,1,0,0,1,1,0
6594,15,2,0,2,2,0,0,2,0,0,2
6607,15,2,0,2,2,0,0,2,0,0,2
6621,19,0,1,0,0,0,0,0,0,0,0
6647,89,0,1,0,0,0,0,0,0,1,2
6678,202,6,1,3,5,3,6,4,1,6,6
6699,618,3,9,2,5,9,4,2,9,24,10
6718,5,0,0,0,0,0,0,0,0,0,0
6740,722,4,20,1,2,17,5,10,20,24,5
6771,139,0,0,0,0,1,0,0,1,2,1
6797,72,0,1,0,0,0,1,0,1,2,1
6825,129,1,1,1,0,0,0,0,0,4,3
6848,536,2,4,2,3,3,3,2,6,11,10
6868,473,5,13,1,4,8,3,5,14,22,7
6900,112,0,2,0,1,1,1,0,1,3,2
6929,182,0,2,0,3,0,2,0,1,3,2
6951,73,0,1,0,0,1,0,0,1,2,0
6974,64,0,0,0,0,0,0,0,1,1,0
6978,239,0,10,0,0,6,2,2,9,16,3
7005,221,1,6,1,0,3,2,2,6,9,1
7046,558,3,9,1,1,7,2,7,10,16,7
7083,300,1,13,2,2,15,5,12,13,21,5
7114,188,0,4,0,0,2,0,0,2,9,2
7141,114,0,3,0,0,1,0,1,2,7,1
7160,13,1,0,0,2,1,1,2,0,1,2
7178,8,0,0,0,0,0,0,0,0,0,0
7212,226,0,5,0,0,3,0,1,4,6,3
7242,147,0,1,0,1,2,1,1,5,4,1
7269,274,0,2,0,1,0,0,0,1,6,2
7308,606,5,10,6,8,3,8,5,6,10,7
7344,323,2,5,2,6,5,3,3,6,12,4
7354,60,0,2,0,0,2,0,0,2,2,0
7368,193,1,3,0,1,2,2,1,3,9,2
7377,411,2,6,2,4,10,6,6,13,15,6
7387,182,0,0,0,1,0,0,0,0,1,1
7398,353,0,10,0,1,5,1,3,11,20,3
7404,203,0,2,0,0,0,1,1,0,3,1
7411,119,0,3,0,0,1,0,1,3,6,0
7417,20,0,0,0,0,0,0,0,2,1,0
7466,3,0,0,0,0,0,0,0,0,0,0
7469,308,2,4,2,4,6,1,4,9,10,5
7499,99,0,0,0,1,0,1,0,3,3,1
7504,298,0,2,0,0,1,0,2,6,7,3
7530,15,0,0,0,0,0,0,0,0,0,0
7534,135,3,2,4,3,6,3,2,3,7,3
7546,538,1,8,1,4,6,7,5,12,11,9
7562,211,1,1,1,1,1,1,1,3,5,1
7623,318,1,2,0,1,1,1,1,3,2,2
7652,614,3,8,1,1,14,3,7,12,18,6
7684,445,4,9,5,10,6,8,1,8,18,14
7704,86,1,2,2,2,4,2,1,4,4,2
7716,56,0,2,0,0,2,0,2,2,3,0
7724,334,0,5,0,0,3,0,1,3,10,0
7734,468,1,4,1,2,3,2,1,6,11,3
7746,173,0,3,0,4,0,4,1,2,2,5
7785,19,0,0,0,0,0,0,0,0,0,0
7813,141,1,2,0,4,3,1,2,4,8,4
7827,96,0,0,2,2,0,4,0,0,3,3
7833,334,1,4,1,5,4,3,3,13,10,5
7856,214,0,4,1,1,3,3,2,4,10,2
7884,78,0,2,1,0,3,0,2,4,5,0
7893,33,0,0,0,0,0,0,0,2,3,0
7899,105,0,1,0,0,1,0,0,2,4,0
7921,105,0,3,0,0,0,1,0,3,4,1
7926,184,1,0,1,3,2,3,0,4,8,2
7934,43,0,0,0,0,0,0,0,0,1,0
7940,56,0,0,0,0,1,0,0,1,2,0
7945,22,0,0,0,0,0,0,0,0,0,0
7951,38,0,0,0,0,1,0,0,3,4,0
7969,398,1,7,2,0,7,6,5,5,18,4
7980,75,0,1,0,1,0,0,0,4,0,0
8017,131,1,2,1,0,1,1,0,1,2,1
8026,32,0,0,0,0,0,0,0,0,1,0
8032,289,2,4,1,3,2,3,1,5,11,5
8038,4,0,0,0,0,0,0,0,0,0,0
8042,31,0,0,1,1,0,1,0,1,1,2
8053,5,0,0,0,0,0,1,0,0,0,1
8064,350,0,6,0,1,2,0,1,6,12,2
8094,272,5,1,0,1,4,2,1,7,10,4
8125,37,0,0,0,0,0,0,0,0,0,0
8131,416,2,8,1,2,8,6,4,12,14,11
8139,178,3,1,0,2,2,1,3,4,6,3
8147,190,4,5,0,3,2,1,1,7,8,3
8156,200,1,3,1,2,3,2,1,7,13,3
8168,182,0,5,0,0,1,0,2,2,7,2
8176,189,0,2,0,0,1,0,1,1,4,1
8188,105,0,1,0,0,1,0,0,3,4,0
8197,100,0,1,0,0,2,1,0,2,4,1
8209,472,1,8,2,3,4,1,4,8,13,2
8224,84,0,0,1,2,0,5,0,1,3,3
8231,73,0,0,0,0,0,0,0,0,1,1
8239,182,3,2,3,5,3,4,0,6,6,2
8247,367,1,8,0,3,7,3,2,13,21,1
8257,515,0,11,1,0,8,2,2,12,20,2
8266,341,2,7,5,2,1,4,2,1,14,3
8274,617,8,13,4,6,13,13,9,15,30,15
8283,447,2,10,4,4,6,7,1,7,14,8
8352,245,0,7,0,0,3,0,2,10,8,1
8362,406,2,10,2,3,8,3,5,7,16,7
8377,489,1,10,0,0,9,2,6,9,14,5
8396,324,4,4,4,3,6,3,4,8,15,6
8416,12,0,0,0,0,0,0,0,0,0,0
8423,189,2,5,1,2,2,2,1,1,5,3
8433,406,1,4,0,0,5,0,2,6,11,2
8468,100,0,2,0,0,1,0,1,2,4,0
8506,281,4,9,2,3,7,2,3,8,11,7
8533,159,0,4,0,0,1,1,1,0,1,1
8545,146,0,1,2,0,1,3,0,1,4,2
8562,583,0,11,1,2,9,3,4,8,15,7
8589,468,1,15,2,4,11,3,6,10,14,4
8614,571,1,10,0,1,9,2,8,13,16,7
8641,239,3,6,4,4,6,4,3,8,7,6
8663,641,6,8,6,7,8,9,5,11,15,13
8717,138,0,2,0,1,2,1,2,3,3,2
8762,259,0,4,0,1,4,2,3,4,6,3
8794,16,0,0,0,0,0,0,0,0,1,0
8817,396,0,4,0,0,7,1,2,6,13,1
8836,32,0,1,0,0,1,0,0,0,3,0
8857,415,1,6,4,3,7,5,1,5,12,6
8886,381,2,10,1,0,14,0,7,11,18,0
8914,364,1,8,1,3,4,1,2,3,6,3
8943,222,1,4,1,0,3,0,1,5,5,2
8955,463,3,12,2,3,9,3,6,9,12,6
8967,844,2,21,2,6,22,4,10,19,29,9
8982,141,3,3,0,2,2,3,0,4,3,4
8995,355,2,4,1,3,3,3,3,3,6,6
9007,46,1,1,1,1,3,1,1,3,4,1
9017,460,1,14,2,0,6,1,1,7,13,4
9031,26,0,0,0,0,2,0,1,1,2,0
9040,230,1,9,0,3,2,2,1,2,4,2
9050,98,0,4,0,0,0,0,0,1,1,0
